"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa05150","Staphylococcus aureus infection",77,0.777271663905051,2.08886177757467,1.92061654123813e-08,1.67247980439692e-06,7.25255349028347e-07,658,"tags=21%, list=5%, signal=20%","718/713/714/2212/2357/712/719/6404/3684/3115/3075/342574/2214/715/3122/3689",0.73376198835648
"hsa04640","Hematopoietic cell lineage",88,0.695340479734529,1.89345002412293,4.19706794112529e-06,0.000161820286174497,7.01718656457385e-05,1779,"tags=34%, list=12%, signal=30%","947/933/3566/3673/3678/960/3684/1436/3675/951/1441/3115/3122/929/4254/920/3109/2815/3553/917/3111/3568/1435/3554/3815/1791/3108/924/3676/928",0.610526878385931
"hsa04610","Complement and coagulation cascades",83,0.675586812501774,1.85966671326011,1.97779894210733e-05,0.000571913527426037,0.000248004994653415,862,"tags=18%, list=6%, signal=17%","718/713/714/11326/3687/712/719/7450/3684/3075/2/715/3818/3689/5329",0.575610261071129
"hsa05014","Amyotrophic lateral sclerosis",290,-0.685524011840446,-1.84604734905532,1e-10,3.47e-08,1.50473330351264e-08,2027,"tags=33%, list=14%, signal=29%","5718/5686/84134/5719/374291/5715/4719/6389/11047/5903/6390/3309/4217/5685/60/55746/4686/126328/7385/55967/4712/5689/5608/55255/1329/10010/4695/4714/5532/10213/1347/2521/4722/1537/51164/4704/29110/5707/116442/4720/10120/5709/4711/7280/842/9861/5630/5533/4741/7415/4700/5704/5530/7277/55102/1351/7381/5690/203228/4725/10280/7846/4716/4744/9896/5688/10540/4718/5691/9631/347733/1432/10671/5713/10381/203068/10121/5684/3831/5683/4724/2903/5217/5693/65018/2904/5682/55860/3800/5708/51807/6311/145957/5702/3084",NA
"hsa05144","Malaria",43,0.745544875945884,1.81775807482885,0.000278044895770307,0.00603009867701853,0.00261489634085802,2049,"tags=42%, list=14%, signal=36%","5175/7057/3606/4615/3689/2995/6347/4233/3553/3043/7043/975/6382/54106/3586/3820/7040/7099",0.49849310876659
"hsa04512","ECM-receptor interaction",84,0.657017796293707,1.80720673975325,6.49322402263156e-05,0.00154465177069775,0.000669823908270514,2019,"tags=30%, list=14%, signal=26%","3913/3673/3691/3678/3908/7057/960/7450/3675/2335/3339/3909/6385/3911/51206/2815/3371/7148/1287/1298/6382/3676/3912/1288/3696",0.538434096309916
"hsa05012","Parkinson disease",210,-0.684519100418738,-1.80614556270771,1.92793061025582e-08,1.67247980439692e-06,7.25255349028347e-07,2027,"tags=37%, list=14%, signal=32%","5718/5686/5719/374291/5715/4719/6389/11047/6390/3309/4217/5685/7345/126328/7385/55967/4712/5689/1329/4128/4695/4714/10213/1347/7326/4722/1537/4704/5707/4720/817/5709/10105/2774/4711/818/7280/27429/842/9861/816/5601/4700/25828/5704/9927/5602/7277/7419/11315/1351/7381/5690/291/4725/7846/4716/5688/4718/5691/347733/5713/10381/203068/5684/3831/5683/4724/5693/5567/51465/65018/5682/3800/5708/51807/5702",0.73376198835648
"hsa03050","Proteasome",41,-0.808769577708229,-1.75162766987192,6.67716903759835e-05,0.00154465177069775,0.000669823908270514,2027,"tags=61%, list=14%, signal=53%","5718/5686/5719/23198/5715/11047/5685/5689/9491/51371/10213/5707/5709/9861/5704/5690/5688/5691/5713/5684/5683/5693/5682/5708/5702",0.538434096309916
"hsa05016","Huntington disease",248,-0.654567751824517,-1.73718512323214,4.40685317320304e-08,3.05835610220291e-06,1.3262277466818e-06,2094,"tags=38%, list=14%, signal=33%","5432/10376/163/5441/161/5718/5686/5719/374291/5715/4719/6389/160/5978/11047/6390/8218/4217/5685/6908/5440/2892/126328/7385/55967/4712/1173/5689/1213/2776/5438/1329/4695/4714/10213/5332/5435/1347/4722/1537/3066/51164/4704/5707/9519/3064/2893/4720/10120/5709/10105/4711/5431/7280/842/9861/5601/4700/5704/5602/7277/55102/7419/1351/7381/1175/5690/291/4725/7846/4716/5688/10540/4718/5691/347733/10671/5713/10381/203068/10121/5684/3831/5434/5683/4724/5693/23236/2904/5682/55860/3800/5708/51807/5702",0.719512826338911
"hsa04518","Integrin signaling",146,0.587948925077928,1.73150228425046,3.4848271354942e-05,0.000930180781551144,0.000403364265212515,658,"tags=17%, list=5%, signal=17%","718/87/2321/3687/55679/5829/3913/3673/3691/3678/3908/7057/5747/3384/7450/894/3684/3791/3675/7414/2316/2335/1956/3909/3689",0.557332238758646
