"ID","Description","seed_fraction","median_NES","median_p.adjust"
"hsa00983","Drug metabolism - other enzymes",0,-1.30679857460609,0.295718119401179
"hsa05134","Legionellosis",0,1.28114491102447,0.342580298281505
"hsa04136","Autophagy - other",0,-1.29992611639712,0.411324682362436
"hsa04360","Axon guidance",0,-1.29434433522041,0.200580798401262
"hsa01200","Carbon metabolism",0,-1.31622946986104,0.249774426015307
"hsa04914","Progesterone-mediated oocyte maturation",0,-1.28812664873636,0.313587748778771
"hsa05323","Rheumatoid arthritis",0,1.2665719754612,0.273402966811817
"hsa04613","Neutrophil extracellular trap formation",0,1.26923173932867,0.252892250987608
"hsa05231","Choline metabolism in cancer",0,-1.25968620171422,0.336077388973002
"hsa05412","Arrhythmogenic right ventricular cardiomyopathy",0,1.26394540269543,0.287558726275796
"hsa04530","Tight junction",0,-1.27126269527314,0.262698541402001
"hsa01230","Biosynthesis of amino acids",0,-1.26143667275021,0.373436000491068
"hsa04066","HIF-1 signaling pathway",0,1.27089983216717,0.241780604453034
"hsa04614","Renin-angiotensin system",0,-1.25455064041186,0.451808730507906
"hsa00520","Amino sugar and nucleotide sugar metabolism",0,-1.25284904287753,0.435385905339222
"hsa04115","p53 signaling pathway",0,-1.24699953278507,0.397913974781994
"hsa03440","Homologous recombination",0,-1.24773707163304,0.442471713565396
"hsa00591","Linoleic acid metabolism",0,1.23221904270649,0.456628713539285
"hsa04962","Vasopressin-regulated water reabsorption",0,-1.26242259200119,0.418205648885999
"hsa03250","Viral life cycle - HIV-1",0,-1.23272511450175,0.437906728675325
"hsa04820","Cytoskeleton in muscle cells",0,1.25480241960351,0.137647179963784
"hsa01521","EGFR tyrosine kinase inhibitor resistance",0,-1.22922431699457,0.41634943800262
"hsa04216","Ferroptosis",0,1.22459065554534,0.445648871494511
"hsa04662","B cell receptor signaling pathway",0,1.23331754107996,0.358519428763646
"hsa04979","Cholesterol metabolism",0,1.19962645340988,0.444187310034619
"hsa04621","NOD-like receptor signaling pathway",0,1.2222996799523,0.259206911247695
"hsa05321","Inflammatory bowel disease",0,1.22906927015406,0.411516847840197
"hsa00010","Glycolysis / Gluconeogenesis",0,-1.21961143046885,0.441341890905727
"hsa00561","Glycerolipid metabolism",0,-1.21268566037404,0.450599100832193
"hsa00510","N-Glycan biosynthesis",0,-1.21158490188349,0.450599100832193
"hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series",0,-1.21351632606275,0.479148165041091
"hsa04064","NF-kappa B signaling pathway",0,1.23101534752014,0.35717245343748
"hsa04217","Necroptosis",0,-1.21843357269436,0.396659177559913
"hsa04960","Aldosterone-regulated sodium reabsorption",0,-1.19745505565546,0.49400798222933
"hsa05218","Melanoma",0,-1.18694477604462,0.464384664911153
"hsa04151","PI3K-Akt signaling pathway",0,1.19428146910963,0.156128717866045
"hsa04964","Proximal tubule bicarbonate reclamation",0,1.19311230679251,0.511620711109667
"hsa04260","Cardiac muscle contraction",0,-1.18334965546083,0.459160042772474
"hsa04978","Mineral absorption",0,1.18339252575672,0.445321615765883
"hsa04910","Insulin signaling pathway",0,-1.17749345526539,0.444222321618862
"hsa04519","Cadherin signaling",0,1.19977365728311,0.121700434189071
"hsa00360","Phenylalanine metabolism",0,-1.18067876769801,0.563526362724473
"hsa00230","Purine metabolism",0,-1.17889861582277,0.453591384657357
"hsa04142","Lysosome biogenesis",0,-1.18485041360746,0.397139523805144
"hsa04012","ErbB signaling pathway",0,-1.18945467867024,0.45155665239958
"hsa04750","Inflammatory mediator regulation of TRP channels",0,-1.17484731078624,0.462668613065575
"hsa05145","Toxoplasmosis",0,1.17527597899636,0.414933506366172
"hsa03420","Nucleotide excision repair",0,-1.17284130315885,0.493164014252629
"hsa03022","Basal transcription factors",0,-1.18082108136479,0.526773764016805
"hsa04015","Rap1 signaling pathway",0,1.1656554057462,0.328045380057823
"hsa05416","Viral myocarditis",0,1.17057218302891,0.45763666536996
"hsa04713","Circadian entrainment",0,-1.17341536562258,0.461181596206758
"hsa04156","Integrated stress response (ISR) signaling pathway",0,-1.16073301453383,0.525199728413442
"hsa04144","Endocytosis",0,-1.16446897744762,0.435572006622007
"hsa05031","Amphetamine addiction",0,-1.15781951053225,0.509595368909332
"hsa04310","Wnt signaling pathway",0,-1.16322114396378,0.443745393025966
"hsa04912","GnRH signaling pathway",0,-1.14516176501054,0.507854477883192
"hsa04921","Oxytocin signaling pathway",0,-1.15174991135414,0.471930538794892
"hsa00630","Glyoxylate and dicarboxylate metabolism",0,-1.15511795215797,0.578112795150351
"hsa05410","Hypertrophic cardiomyopathy",0,1.12627516632232,0.465686188533793
"hsa05169","Epstein-Barr virus infection",0,-1.15337833285037,0.446718351364574
"hsa04517","IgSF CAM signaling",0,-1.15294994121753,0.434542338700548
"hsa04611","Platelet activation",0,1.14932092278496,0.433936187152965
"hsa04725","Cholinergic synapse",0,-1.14372131008215,0.500704899557568
"hsa04020","Calcium signaling pathway",0,-1.14439449928321,0.446470132041746
"hsa04390","Hippo signaling pathway",0,1.14067447519759,0.426842250094646
"hsa04929","GnRH secretion",0,-1.14192017337381,0.526438252223329
"hsa04510","Focal adhesion",0,1.15797053975109,0.355175044866534
"hsa04933","AGE-RAGE signaling pathway in diabetic complications",0,1.14585027506375,0.453591384657357
"hsa04720","Long-term potentiation",0,-1.12834511693137,0.559894377427776
"hsa05213","Endometrial cancer",0,-1.12752935181229,0.579080545301522
"hsa04730","Long-term depression",0,1.13250148269877,0.509364454720313
"hsa05414","Dilated cardiomyopathy",0,1.10575934102993,0.498526187183307
"hsa04922","Glucagon signaling pathway",0,-1.13099955552888,0.526857064951344
"hsa05222","Small cell lung cancer",0,1.13338989377265,0.473559811938606
"hsa05223","Non-small cell lung cancer",0,-1.11732241953667,0.581969725448103
"hsa00513","Various types of N-glycan biosynthesis",0,-1.11865160248336,0.599914013488848
"hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",0,1.11205874046415,0.607050539718255
"hsa00340","Histidine metabolism",0,-1.0988851370766,0.645667883348155
"hsa04392","Hippo signaling pathway - multiple species",0,1.09275260045,0.62238914804322
"hsa00052","Galactose metabolism",0,-1.09503334226815,0.636660343525524
"hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,-1.09907852521778,0.640490072060937
"hsa04666","Fc gamma R-mediated phagosome formation",0,1.10173355995433,0.535436628503459
"hsa04630","JAK-STAT signaling pathway",0,1.09098566516679,0.513590615180082
"hsa04810","Regulation of actin cytoskeleton",0,1.09550875847447,0.465722233547186
"hsa04919","Thyroid hormone signaling pathway",0,-1.10258448083544,0.567436426589634
"hsa00051","Fructose and mannose metabolism",0,-1.08874391802145,0.637140527478194
"hsa05216","Thyroid cancer",0,-1.07606905835726,0.647742439353765
"hsa05032","Morphine addiction",0,-1.0903357221552,0.60905652358691
"hsa00760","Nicotinate and nicotinamide metabolism",0,1.08576785183824,0.627136470717909
"hsa04650","Natural killer cell mediated cytotoxicity",0,1.09185147538306,0.536899355885205
"hsa04726","Serotonergic synapse",0,-1.08266811002715,0.620626746364201
"hsa05215","Prostate cancer",0,-1.08889653794884,0.60401145178584
"hsa00100","Steroid biosynthesis",0,-1.0667334477862,0.685367673678456
"hsa01240","Biosynthesis of cofactors",0,-1.07497328162923,0.616287435159947
"hsa04110","Cell cycle",0,-1.07478513343918,0.618564415895487
"hsa04976","Bile secretion",0,1.0761208416227,0.596640183781644
"hsa05170","Human immunodeficiency virus 1 infection",0,-1.0740506095642,0.607904615677593
"hsa05230","Central carbon metabolism in cancer",0,-1.07725309736225,0.635543081819996
"hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",0,-1.07879576293906,0.627234517332021
"hsa04668","TNF signaling pathway",0,1.07291017357609,0.569361568129333
"hsa03083","Polycomb repressive complex",0,-1.07017489383774,0.638934405642906
"hsa00330","Arginine and proline metabolism",0,-1.07488150405662,0.649670069064692
"hsa00564","Glycerophospholipid metabolism",0,-1.06854322223872,0.639771938578416
"hsa05143","African trypanosomiasis",0,1.06653214756578,0.640081435750682
"hsa04721","Synaptic vesicle cycle",0,-1.06160224392263,0.64818161767003
"hsa00030","Pentose phosphate pathway",0,-1.06054870809131,0.669579354557716
"hsa04744","Phototransduction",0,1.04815909129369,0.665821601845224
"hsa04660","T cell receptor signaling pathway",0,-1.05627989569886,0.646585778403195
"hsa04931","Insulin resistance",0,1.06574395149087,0.584603575886148
"hsa04977","Vitamin digestion and absorption",0,1.06101091555009,0.656211237492084
"hsa05100","Bacterial invasion of epithelial cells",0,1.06144235254438,0.620416419620533
"hsa00450","Selenocompound metabolism",0,-1.0359933619471,0.713548168903815
"hsa01250","Biosynthesis of nucleotide sugars",0,-1.04850552932879,0.678178399825643
"hsa04218","Cellular senescence",0,-1.03877723255314,0.669517393101833
"hsa04270","Vascular smooth muscle contraction",0,1.03599423254664,0.642339990927012
"hsa04970","Salivary secretion",0,1.0430606483767,0.644866966141505
"hsa04727","GABAergic synapse",0,-1.03752811850508,0.685298693876085
"hsa04622","RIG-I-like receptor signaling pathway",0,-1.03510902348111,0.686715978827013
"hsa04152","AMPK signaling pathway",0,-1.03365683625664,0.68884741065289
"hsa05110","Vibrio cholerae infection",0,-1.02740197606847,0.695018048882234
"hsa05214","Glioma",0,-1.02273569204071,0.696110523289144
"hsa04070","Phosphatidylinositol signaling system",0,-1.02759491636519,0.694659343898087
"hsa04659","Th17 cell differentiation",0,-1.0140399190367,0.708311258811508
"hsa04072","Phospholipase D signaling pathway",0,1.00966445003148,0.690924749430689
"hsa04971","Gastric acid secretion",0,-1.02079540483326,0.704847849877791
"hsa05131","Shigellosis",0,1.01545995839155,0.672956143900766
"hsa04261","Adrenergic signaling in cardiomyocytes",0,-1.01574895176524,0.703239365288506
"hsa00514","Other types of O-glycan biosynthesis",0,1.01815443496197,0.691405470594221
"hsa04934","Cushing syndrome",0,-1.01377419276374,0.70839125269431
"hsa00380","Tryptophan metabolism",0,-0.997531993160779,0.728113191005694
"hsa03040","Spliceosome",0,-1.00912693393203,0.712649779688713
"hsa00785","Lipoic acid metabolism",0,-1.01157190950052,0.731700339650075
"hsa00910","Nitrogen metabolism",0,-0.99527117542349,0.742068520451471
"hsa00604","Glycosphingolipid biosynthesis - ganglio series",0,-1.00651178967221,0.733549350091185
"hsa04625","C-type lectin receptor signaling pathway",0,1.00312818167658,0.700150257506027
"hsa05166","Human T-cell leukemia virus 1 infection",0,-1.00399043147952,0.727209785251776
"hsa03030","DNA replication",0,0.992484761758107,0.721339681118436
"hsa00250","Alanine, aspartate and glutamate metabolism",0,-0.996337495423059,0.735760069696861
"hsa03008","Ribosome biogenesis in eukaryotes",0,-0.996929474460502,0.725922104948869
"hsa04740","Olfactory transduction",0,0.999038138217809,0.702751875052733
"hsa04930","Type II diabetes mellitus",0,-0.998719226696877,0.729945806019961
"hsa00310","Lysine degradation",0,-0.998411217764088,0.729945806019961
"hsa05418","Fluid shear stress and atherosclerosis",0,0.978879780057113,0.741261034819905
"hsa04722","Neurotrophin signaling pathway",0,-0.99734158468412,0.729945806019961
"hsa03410","Base excision repair",0,-0.995336691260721,0.733918816029547
"hsa04724","Glutamatergic synapse",0,-0.98627751479934,0.740973216973365
"hsa05135","Yersinia infection",0,0.983099573603007,0.738303987452399
"hsa04911","Insulin secretion",0,-0.970709714232841,0.752193484321721
"hsa03082","ATP-dependent chromatin remodeling",0,-0.984299434377431,0.743900373569563
"hsa03018","RNA degradation",0,-0.978348367704875,0.749025359211256
"hsa04972","Pancreatic secretion",0,0.971834040610168,0.742489934018159
"hsa01524","Platinum drug resistance",0,-0.983899998181955,0.742367930108115
"hsa01212","Fatty acid metabolism",0,-0.970210538835063,0.75122374738962
"hsa05210","Colorectal cancer",0,-0.964402955794973,0.753800711348987
"hsa04145","Phagocytosis",0,-0.977633348567573,0.755909957271791
"hsa04024","cAMP signaling pathway",0,0.973426517969068,0.7552753845646
"hsa05207","Chemical carcinogenesis - receptor activation",0,-0.962584140700357,0.763450141560832
"hsa04916","Melanogenesis",0,-0.956967139332321,0.7637941557813
"hsa04973","Carbohydrate digestion and absorption",0,-0.970735012875407,0.748955113696095
"hsa04935","Growth hormone synthesis, secretion and action",0,-0.961327776074447,0.759483002336092
"hsa04966","Collecting duct acid secretion",0,-0.963930383112634,0.755303849945771
"hsa04961","Endocrine and other factor-regulated calcium reabsorption",0,-0.971939833845735,0.749378891092303
"hsa04010","MAPK signaling pathway",0,0.957467241081105,0.798378644611826
"hsa05034","Alcoholism",0,-0.96628342221919,0.758000529644733
"hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series",0,-0.956446424764803,0.760918365421747
"hsa05120","Epithelial cell signaling in Helicobacter pylori infection",0,-0.947879356301977,0.762684549074648
"hsa04150","mTOR signaling pathway",0,-0.953335713771779,0.765888275220945
