"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
-3.58337166666667,4.27699916666667,-7.52106725425733,1.67181094607482e-07,0.00290961977054863,6.93751802099104,"PPP4R4"
-3.37936,6.77608166666667,-6.93136601222675,6.01387353756419e-07,0.0039548962231897,5.85932671986982,"CPNE6"
-3.66186833333334,5.28864583333333,-6.87472058251095,6.8172194148294e-07,0.0039548962231897,5.75270068867491,"FAM83D"
-2.95846,5.83774333333333,-6.50227022830405,1.57072941947646e-06,0.00683424370414208,5.03857881168234,"C3orf39"
2.17173833333333,3.58804583333333,5.88536534639191,6.49733205787784e-06,0.0226159134270612,3.80813241755507,"DENND3"
-3.061465,5.4934325,-5.74010429125465,9.13377798886664e-06,0.0228309787136385,3.51037750779657,"ATR"
-2.98432,4.88266166666667,-5.73783043141495,9.18276551341472e-06,0.0228309787136385,3.50569391073246,"TPD52L1"
-2.53926166666667,6.88691916666667,-5.58278554171247,1.32405411150756e-05,0.0270592918869251,3.18475054163479,"NRG1"
-2.64020833333333,5.18101583333333,-5.4833249020664,1.67646136228726e-05,0.0270592918869251,2.9772744698023,"FGF11"
3.2276,4.529365,5.44608625482127,1.8317571484448e-05,0.0270592918869251,2.89928774203912,"AQP1"
-3.00428166666667,5.5658175,-5.43699812160164,1.87182759359732e-05,0.0270592918869251,2.88023025122542,"TSPAN8"
-2.82393833333334,5.8696075,-5.43330830065256,1.88834945619507e-05,0.0270592918869251,2.87249008151355,"PRUNE2"
1.11057,2.56964833333333,5.40477734999181,2.0212065877386e-05,0.0270592918869251,2.81258728854429,"LILRA2"
-3.02877166666667,4.36923916666667,-5.35801266058621,2.25983585254151e-05,0.0280929879840232,2.71420071155725,"TYRP1"
-2.57917833333333,4.33145083333333,-5.2687206693276,2.79795023155145e-05,0.0324636838866142,2.52567159003157,"DYNC1LI1"
-2.49090333333333,3.90468166666667,-5.22413229067073,3.1136262816039e-05,0.0338684698781464,2.43121124505161,"KCNG4"
-2.76313833333333,6.72512583333333,-5.15836970434368,3.64637463156281e-05,0.0373302965221877,2.29152470776156,"PDGFD"
2.71839333333333,4.59298166666667,5.11510423420584,4.04637021787315e-05,0.0391239040399246,2.19939372531201,"CP"
-2.96353,5.64777666666667,-5.05837597021687,4.63897986741415e-05,0.0398537485232499,2.07832941538054,"PPEF1"
-2.51093666666667,4.87730833333333,-5.04902213426638,4.74481019467597e-05,0.0398537485232499,2.05833931431945,"DENND1B"
2.733575,5.05079083333333,5.02509231770312,5.02680593044768e-05,0.0398537485232499,2.00716376813911,"C3"
3.63311833333333,4.4488975,5.02418531190942,5.03782157843886e-05,0.0398537485232499,2.00522309263689,"SERPINA3"
-2.65266333333333,4.569445,-4.95856631078694,5.90309523067701e-05,0.0417530484372344,1.86463672367202,"TMEM120A"
-2.38832,4.57190333333333,-4.95751972991148,5.91804989074473e-05,0.0417530484372344,1.86239157854896,"WDR34"
-2.63741166666667,4.51825916666667,-4.95199550023386,5.99762244846507e-05,0.0417530484372344,1.85053943482815,"TOPBP1"
-2.42603166666667,6.56857916666667,-4.90575685897702,6.70749559190649e-05,0.0435992627769613,1.75124070854432,"SUSD2"
2.513245,5.1279175,4.90230064051639,6.76384793712914e-05,0.0435992627769613,1.74381174921423,"EVI2B"
-1.915305,3.56103583333333,-4.84888369342344,7.69813404396294e-05,0.0464161544816779,1.62888225832133,"ATXN2"
-1.782895,3.60506083333333,-4.83164775903334,8.02657924216739e-05,0.0464161544816779,1.59175449069397,"HCCA2"
-2.12472333333334,5.13446666666667,-4.82303584475084,8.19594545705886e-05,0.0464161544816779,1.57319593680356,"PSMC3"
-2.19376166666667,7.07025583333333,-4.81840958768966,8.28841101643453e-05,0.0464161544816779,1.56322432738223,"SLC10A4"
2.12569666666667,3.31857666666667,4.80405391431804,8.5820900214783e-05,0.0464161544816779,1.53227238636164,"TMEM65"
-2.57586666666667,5.38173833333333,-4.7936697843078,8.80104055329447e-05,0.0464161544816779,1.50987486915077,"CAPRIN2"
-2.31766166666667,5.10880583333333,-4.77583468513086,9.19031876756435e-05,0.0468755917163346,1.47139000805188,"USP7"
2.31433,3.583865,4.76410981928,9.45563987898623e-05,0.0468755917163346,1.44607887237283,"CPM"
-2.95651666666667,6.48339833333333,-4.74950412117936,9.7969735312316e-05,0.0468755917163346,1.41453676354203,"CHODL"
-2.89870666666667,5.232135,-4.73872841038298,0.000100567341493067,0.0468755917163346,1.39125747117269,"SEMA3A"
-2.11876166666667,4.8943975,-4.73150057864981,0.000102348453529115,0.0468755917163346,1.37563894382055,"NRG4"
-2.14132833333333,6.09581083333333,-4.69957534795362,0.000110603494515167,0.0480524798974595,1.30661583681842,"UBASH3B"
-2.72769666666667,6.74899166666667,-4.69114497865872,0.000112893126750142,0.0480524798974595,1.28837958363602,"ANXA6"
-2.15021833333333,4.8124075,-4.69002423548762,0.000113201084566527,0.0480524798974595,1.28595494072794,"FRZB"
2.171915,4.33736083333333,4.62590443227006,0.000132303049054587,0.0540676893674518,1.1471272312262,"EPAS1"
-2.71168333333333,4.53719333333333,-4.61139745873887,0.000137056462706971,0.0540676893674518,1.11568958273169,"APBB3"
-2.06524166666667,4.7097975,-4.59165436912685,0.000143802597797319,0.0540676893674518,1.07288943242189,"INADL"
-2.52094,4.80626666666667,-4.55518259814317,0.000157154833211121,0.0540676893674518,0.993779791796792,"TSPAN33"
-2.46568166666667,6.3434875,-4.55427608931437,0.0001575021093363,0.0540676893674518,0.991812822900615,"ENTPD3"
2.10597333333333,4.363535,4.54358149517321,0.000161657766061796,0.0540676893674518,0.968604965836994,"CTSS"
-2.300075,4.93863416666667,-4.53575126064053,0.000164770060418149,0.0540676893674518,0.951610152978535,"CLCN5"
-2.33052166666667,5.33285583333333,-4.52705136796817,0.000168298624042124,0.0540676893674518,0.932725153275998,"NIPSNAP3A"
2.25029,4.07331666666667,4.52035210957716,0.000171067370118105,0.0540676893674518,0.918181093208706,"GPR65"
-2.38095833333333,4.09540583333333,-4.51622885865222,0.000172794156952641,0.0540676893674518,0.909228742259595,"VSTM2A"
-2.75781166666667,5.6747325,-4.50998949174792,0.000175440481140245,0.0540676893674518,0.895680781745896,"C14orf2"
-2.22242,4.85439,-4.50527152885766,0.000177468499605794,0.0540676893674518,0.885435465075883,"C6orf142"
-1.92292333333333,5.114515,-4.48827014358359,0.000184973648049839,0.0540676893674518,0.848509913326173,"SLC25A20"
-2.32876,5.49474666666667,-4.46492514531916,0.000195800685487643,0.0540676893674518,0.797791864032536,"DOPEY2"
2.05747,7.63170166666667,4.46235265115146,0.000197031989732362,0.0540676893674518,0.792202022711703,"FXYD5"
2.27381166666667,4.6267075,4.45976291729493,0.000198279388300582,0.0540676893674518,0.786574531531793,"TGM2"
-1.75838333333333,3.86681,-4.45872488367028,0.00019878159881401,0.0540676893674518,0.784318831828403,"UBE2J1"
-2.87905666666667,5.86157833333333,-4.44413539916711,0.000205976561635162,0.0540676893674518,0.752612029533829,"PVALB"
-1.88433166666667,4.13525916666667,-4.42421516176385,0.000216223874721282,0.0540676893674518,0.709311218454177,"RERG"
-2.05346833333333,6.64430583333333,-4.42289523763176,0.000216920642209343,0.0540676893674518,0.706441745848714,"PSMD2"
2.83017833333333,4.9825325,4.42254895509514,0.000217103811651851,0.0540676893674518,0.705688932000798,"C1QB"
2.70858833333333,5.03076083333333,4.41756462848316,0.000219757553605937,0.0540676893674518,0.694852761902715,"GSN"
-2.00529833333333,4.69526916666667,-4.41355678818574,0.000221914952604424,0.0540676893674518,0.686139111341087,"CCNB1"
-2.038365,7.76625083333333,-4.41281848601951,0.000222314685093778,0.0540676893674518,0.684533891750193,"PHACTR2"
-2.696765,5.7767425,-4.41281137515492,0.000222318538572324,0.0540676893674518,0.684518431220696,"CPNE9"
-1.94359333333333,4.41856,-4.40453775254725,0.000226847771934842,0.0540676893674518,0.666529074701382,"GLYATL2"
2.34508333333333,4.23477,4.40392140358999,0.000227188856646325,0.0540676893674518,0.665188887279564,"NTS"
