"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","sig","Category"
-1.17519,5.30769166666667,-1.87087685951428,0.0770682403226367,0.408683792921119,-4.41165926360726,"HADHA","NS","Butyrate Metabolism"
-0.904273333333334,6.78270666666667,-1.60586957453662,0.125029019587807,0.494886594539778,-4.79966540663645,"ACAT1","NS","Butyrate Metabolism"
-0.585681666666667,3.87672583333333,-1.40422541597144,0.176615571192614,0.569338763543162,-5.06520859126851,"ACSS2","NS","Butyrate Metabolism"
0.471453333333334,5.374505,0.80541939101638,0.430683512653104,0.782252819679528,-5.67405520667053,"HADHB","NS","Butyrate Metabolism"
0.535644999999999,3.74927083333333,1.2458578468404,0.228174606911772,0.62087128520973,-5.25372579051691,"GPR109A","NS","FFA Receptors"
-0.0890549999999997,3.21557583333333,-0.267291788789522,0.792165234384107,0.939444363248145,-5.95368312064273,"FFAR3","NS","FFA Receptors"
0.0263783333333336,2.20565416666667,0.122839291350136,0.903542748424932,0.971708232664011,-5.98146950463621,"FFAR2","NS","FFA Receptors"
1.098075,2.89435583333333,3.45977459905229,0.00266772096346495,0.120776563233397,-1.4948982818008,"TLR4","NS","Gut-Brain"
1.152545,2.9625375,3.22558273509034,0.00451241499120354,0.143939907796858,-1.96232761637384,"TREM2","NS","Gut-Brain"
1.06255833333333,3.92295916666667,3.15171419278746,0.00532007802491242,0.152250474836277,-2.10836395702797,"MYD88","NS","Gut-Brain"
0.741236666666667,4.21014833333333,1.26824807670256,0.220245943341422,0.614193453112881,-5.2282001338246,"CX3CR1","NS","Gut-Brain"
1.18482666666667,3.09891666666667,3.40319642466239,0.0030302070416834,0.125777182177067,-1.6083486297828,"SIRT1","NS","HDAC Targets"
1.50128333333333,6.41648666666666,3.13797225693505,0.00548516735504364,0.153846925017957,-2.13544253977211,"HDAC5","NS","HDAC Targets"
0.993235,3.34197583333333,2.55880040224746,0.0193347542031093,0.242450129013661,-3.24157060799328,"HDAC7","NS","HDAC Targets"
-1.22031,4.598405,-2.3516698139972,0.0297959144259296,0.279870897342954,-3.61439058116206,"HDAC2","NS","HDAC Targets"
-1.32894333333333,4.53176666666667,-2.34343438086377,0.030305038394793,0.281779132749913,-3.62889472451485,"HDAC3","NS","HDAC Targets"
0.884203333333333,5.00125,2.12747177903608,0.0468929441330499,0.334060706945578,-3.99939893227426,"HDAC6","NS","HDAC Targets"
0.721716666666667,3.53582333333333,1.68830323820012,0.107931908425443,0.466947694155856,-4.68347112727751,"HDAC4","NS","HDAC Targets"
0.404416666666667,2.78934666666667,1.41797179343195,0.172620810167405,0.56428264511961,-5.04798877538415,"HDAC8","NS","HDAC Targets"
0.388186666666664,8.67960333333333,0.815706052054773,0.424919679703118,0.777551031842585,-5.66610933035799,"HDAC1","NS","HDAC Targets"
0.0407666666666668,2.19463666666667,0.268273606301325,0.791420834469509,0.93912648850286,-5.95342427467721,"SIRT3","NS","HDAC Targets"
1.29480166666667,6.01004416666667,3.00532976471462,0.00735756674318396,0.170166992630249,-2.39520847914835,"NFKBIA","NS","NF-kB"
0.985001666666666,4.01113083333333,2.62802278041984,0.0166911175055797,0.230515874917667,-3.11382083635448,"RELA","NS","NF-kB"
0.748780000000001,4.67252833333333,1.65082700230911,0.11544032407364,0.479674121904448,-4.73682115998225,"IKBKB","NS","NF-kB"
0.176103333333335,5.392485,0.357728675207659,0.724545519935484,0.916685483642078,-5.92590184770042,"NFKB1","NS","NF-kB"
0.68234,2.93572666666667,2.63073793471807,0.0165947501528831,0.23035157446289,-3.1087806210594,"IL1B","NS","NLRP3"
1.76128666666667,3.93535333333333,2.61473430239619,0.0171704618057771,0.233471851497191,-3.13845718766198,"IL18","NS","NLRP3"
0.637414999999999,3.0433925,2.4896418685599,0.0223672783155599,0.251241546615942,-3.36769314208339,"CASP1","NS","NLRP3"
0.11211,2.25537666666667,0.754989969584357,0.459643077884282,0.798146949079447,-5.71164857112487,"NLRP3","NS","NLRP3"
-0.663460000000001,4.47723333333333,-1.38127444760366,0.183450907708431,0.577201544634727,-5.09366026748177,"SLC16A1","NS","Transporters"
0.553723333333333,6.80775333333333,1.14810354824164,0.265377261291495,0.659113042685527,-5.3606592511493,"SLC5A8","NS","Transporters"
0.0160666666666667,2.71363,0.0589968289427522,0.953579483350808,0.986981227300281,-5.98720434258703,"SLC16A3","NS","Transporters"
