"ID","Description","seed_fraction","median_NES","median_p.adjust"
"GO:0042119","neutrophil activation",1,1.9863564247644,0.00106437877571372
"GO:0043277","apoptotic cell clearance",1,1.95407450773575,0.00235680780052838
"GO:0006911","phagocytosis, engulfment",1,1.95183196554681,0.00242381164314951
"GO:0003407","neural retina development",1,1.88618084576448,0.00428766336307997
"GO:0072210","metanephric nephron development",1,1.92812285940518,0.00303247335123667
"GO:0007229","integrin-mediated signaling pathway",1,1.9082991691257,0.000655068292675134
"GO:0140053","mitochondrial gene expression",1,-1.89406857793879,8.78342044318212e-06
"GO:0036230","granulocyte activation",1,1.93448724620557,0.00319158414007366
"GO:0042476","odontogenesis",1,1.85286669702159,0.00453791037181591
"GO:0032543","mitochondrial translation",1,-1.88602575030097,1.5414337540231e-05
"GO:0002274","myeloid leukocyte activation",1,1.83951416623535,8.53314313425553e-05
"GO:0042044","fluid transport",1,1.86734475287655,0.00737198637308723
"GO:1902107","positive regulation of leukocyte differentiation",1,1.84312893046664,0.000327843010954451
"GO:1903708","positive regulation of hemopoiesis",1,1.84312893046664,0.000327843010954451
"GO:0099024","plasma membrane invagination",1,1.83641743554244,0.00846133245109062
"GO:0045765","regulation of angiogenesis",1,1.82614292370186,1.13370383789668e-05
"GO:0070633","transepithelial transport",1,1.80589493646448,0.0120410481824944
"GO:2001044","regulation of integrin-mediated signaling pathway",1,1.8414981485096,0.00731496778013133
"GO:0042771","intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator",1,1.83525284369131,0.0124377076438109
"GO:0032731","positive regulation of interleukin-1 beta production",1,1.78077453478786,0.0160087154901657
"GO:0043370","regulation of CD4-positive, alpha-beta T cell differentiation",1,1.80983329101213,0.0121106341773123
"GO:0071715","icosanoid transport",1,1.74822560063884,0.0242868575930381
"GO:0006909","phagocytosis",1,1.82879942225778,0.000109798205351305
"GO:0046637","regulation of alpha-beta T cell differentiation",1,1.82414161799941,0.00671950172012198
