"ID","Description","seed_fraction","median_NES","median_p.adjust"
"hsa05171","Coronavirus disease",0.25,1.77870845063949,0.0642075207169773
"hsa04979","Cholesterol metabolism",0.2,1.9357668440219,0.0738892271371682
"hsa05213","Endometrial cancer",0,1.81707899781229,0.137059003449374
"hsa04931","Insulin resistance",0,1.79666026589997,0.105388799035724
"hsa04610","Complement and coagulation cascades",0,1.74278654833731,0.223331092024362
"hsa05142","Chagas disease",0,1.69022809945818,0.266323231162992
"hsa05206","MicroRNAs in cancer",0,1.70159879743475,0.11394048156874
"hsa04964","Proximal tubule bicarbonate reclamation",0,1.61223364086197,0.356733837449031
"hsa05133","Pertussis",0,1.6278354024042,0.349029705227584
"hsa05230","Central carbon metabolism in cancer",0,1.62866983603586,0.336605615017954
"hsa05322","Systemic lupus erythematosus",0,1.62538777613979,0.354376876447469
"hsa05215","Prostate cancer",0,1.61322804087018,0.297678019031984
"hsa05214","Glioma",0,1.63248241968305,0.346796125131968
"hsa05165","Human papillomavirus infection",0,1.5858704833395,0.108346152561526
"hsa05222","Small cell lung cancer",0,1.56512649900116,0.352191602871907
"hsa04390","Hippo signaling pathway",0,1.55550261859264,0.329347830897876
"hsa05218","Melanoma",0,1.5523875020273,0.374954743220854
"hsa05225","Hepatocellular carcinoma",0,1.57248111727048,0.316909383685622
"hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",0,1.57068760772507,0.347338477939593
"hsa01521","EGFR tyrosine kinase inhibitor resistance",0,1.53458360307761,0.367658926113967
"hsa00562","Inositol phosphate metabolism",0,1.51890618066071,0.381002641692938
"hsa04978","Mineral absorption",0,1.5309996893717,0.384445102010398
"hsa04936","Alcoholic liver disease",0,1.53341184359682,0.348173256895819
"hsa04510","Focal adhesion",0,1.51933454300961,0.345849967717039
"hsa04068","FoxO signaling pathway",0,1.51959096497308,0.352136765057249
"hsa00061","Fatty acid biosynthesis",0,1.5019384895408,0.396561777058641
"hsa05150","Staphylococcus aureus infection",0,1.5051208425793,0.373322146154409
"hsa03030","DNA replication",0,1.490346903452,0.39190271709391
"hsa00600","Sphingolipid metabolism",0,-1.49836969976159,0.347110768456704
"hsa05418","Fluid shear stress and atherosclerosis",0,1.50709414279522,0.358703593883772
"hsa04666","Fc gamma R-mediated phagosome formation",0,1.46761355915687,0.39723783998172
"hsa04814","Motor proteins",0,-1.48740327323528,0.13109651029599
"hsa04664","Fc epsilon RI signaling pathway",0,1.47247057146336,0.39701709725378
"hsa04115","p53 signaling pathway",0,1.4716968289292,0.391883247130966
"hsa05224","Breast cancer",0,1.45808028110791,0.367658926113967
"hsa04976","Bile secretion",0,1.45703833398203,0.389659716455782
"hsa04071","Sphingolipid signaling pathway",0,1.45630219081775,0.382746619386806
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",0,1.45518565985582,0.384445102010398
"hsa05100","Bacterial invasion of epithelial cells",0,1.48104865117614,0.382746619386806
"hsa04064","NF-kappa B signaling pathway",0,1.44456692520264,0.395895418755737
"hsa04062","Chemokine signaling pathway",0,1.44892966652769,0.357437152791253
"hsa03430","Mismatch repair",0,1.44113725206538,0.430808124821197
"hsa04722","Neurotrophin signaling pathway",0,1.42691119100252,0.388212785929549
"hsa04933","AGE-RAGE signaling pathway in diabetic complications",0,1.41611242147789,0.40670407087
"hsa05168","Herpes simplex virus 1 infection",0,1.42643163567851,0.389073401008914
"hsa05152","Tuberculosis",0,1.41033526245245,0.381771828557122
"hsa05167","Kaposi sarcoma-associated herpesvirus infection",0,1.44808338568246,0.358703593883772
"hsa00770","Pantothenate and CoA biosynthesis",0,-1.44664415501205,0.3861069943544
"hsa04668","TNF signaling pathway",0,1.40879311259372,0.39723783998172
"hsa05203","Viral carcinogenesis",0,1.40896625037146,0.381191267993852
"hsa04148","Efferocytosis",0,1.39001052543247,0.39400439298725
"hsa04919","Thyroid hormone signaling pathway",0,1.38603285214051,0.412592633851484
"hsa00410","beta-Alanine metabolism",0,-1.39202710346547,0.396561777058641
"hsa03420","Nucleotide excision repair",0,1.39482142219951,0.430051063328522
"hsa04926","Relaxin signaling pathway",0,1.37926416422976,0.411319496460779
"hsa05034","Alcoholism",0,1.3600070276736,0.432218114636505
"hsa04060","Cytokine-cytokine receptor interaction",0,1.37920998066262,0.366008063431395
"hsa04518","Integrin signaling",0,1.38088064514553,0.396561777058641
"hsa04550","Signaling pathways regulating pluripotency of stem cells",0,1.37190441227377,0.406723581883876
"hsa03060","Protein export",0,-1.37241795192565,0.427162509951793
"hsa04070","Phosphatidylinositol signaling system",0,1.36314382289762,0.440593325923998
"hsa04146","Peroxisome",0,-1.35594938752018,0.382746619386806
"hsa04215","Apoptosis - multiple species",0,1.37382362631759,0.474513542046461
"hsa04932","Non-alcoholic fatty liver disease",0,1.33323562930529,0.429017082530154
"hsa05134","Legionellosis",0,1.36069984260325,0.468646082319663
"hsa04151","PI3K-Akt signaling pathway",0,1.34479596786131,0.372535166142162
"hsa05412","Arrhythmogenic right ventricular cardiomyopathy",0,1.33700075205705,0.471715396161392
"hsa05012","Parkinson disease",0,-1.3329818787162,0.349572058035209
"hsa00340","Histidine metabolism",0,-1.35223633487363,0.449076081427867
"hsa05208","Chemical carcinogenesis - reactive oxygen species",0,1.35637092451916,0.40230571644402
"hsa00120","Primary bile acid biosynthesis",0,-1.31747997291134,0.519914839797639
"hsa04914","Progesterone-mediated oocyte maturation",0,-1.32272210257856,0.393427400374933
"hsa00240","Pyrimidine metabolism",0,-1.31281554910294,0.446876537292832
"hsa04744","Phototransduction",0,-1.30287240105979,0.523361134448478
"hsa04380","Osteoclast differentiation",0,1.31835565885035,0.446839315014083
"hsa04392","Hippo signaling pathway - multiple species",0,1.30834058253996,0.540299628482615
"hsa04660","T cell receptor signaling pathway",0,1.33357813685317,0.454749589067246
"hsa04657","IL-17 signaling pathway",0,1.29283632704155,0.504032268461674
"hsa00360","Phenylalanine metabolism",0,-1.2857146686343,0.536612086695143
"hsa00760","Nicotinate and nicotinamide metabolism",0,1.29219076534019,0.53730554342159
"hsa00531","Glycosaminoglycan degradation",0,-1.27180906018257,0.540729785791216
"hsa03273","Virion - Lassa virus and SFTS virus",0,-1.26839353537007,0.541759335363986
"hsa04650","Natural killer cell mediated cytotoxicity",0,1.27296969273092,0.511283801831196
"hsa04613","Neutrophil extracellular trap formation",0,1.28734798616672,0.506239520103563
"hsa05166","Human T-cell leukemia virus 1 infection",0,1.27580161602728,0.438666575116843
"hsa05220","Chronic myeloid leukemia",0,1.25610023324795,0.541841292282351
"hsa00983","Drug metabolism - other enzymes",0,-1.29082013828598,0.440721340699928
"hsa04371","Apelin signaling pathway",0,1.27085020388479,0.504403778636559
