"GeneSymbol","logFC_68605","P.Value_68605","adj.P.Val_68605","logFC","P.Value"
"SERPINA3",4.69628407641667,5.03926825624257e-10,5.49658185049658e-06,3.63311833333333,5.03782157843886e-05
"AQP1",3.43440973929167,1.41577616177252e-06,0.00280774154264251,3.2276,1.8317571484448e-05
"PRUNE2",-2.01192145391667,6.72940012970905e-06,0.0104858474164002,-2.82393833333334,1.88834945619507e-05
