"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa05150","Staphylococcus aureus infection",77,0.777271663905051,2.08161478802501,1.43294204972478e-08,1.24307722813624e-06,5.26079167896435e-07,658,"tags=21%, list=5%, signal=20%","718/713/714/2212/2357/712/719/6404/3684/3115/3075/342574/2214/715/3122/3689",0.747739663149885
"hsa04640","Hematopoietic cell lineage",88,0.695340479734529,1.86131782804645,2.55528665126853e-06,9.85204964433535e-05,4.16945782744099e-05,1779,"tags=34%, list=12%, signal=30%","947/933/3566/3673/3678/960/3684/1436/3675/951/1441/3115/3122/929/4254/920/3109/2815/3553/917/3111/3568/1435/3554/3815/1791/3108/924/3676/928",0.627256739718528
"hsa04610","Complement and coagulation cascades",83,0.675586812501774,1.85327464613652,2.14792266050932e-05,0.000621107635997278,0.000262857190948202,862,"tags=18%, list=6%, signal=17%","718/713/714/11326/3687/712/719/7450/3684/3075/2/715/3818/3689/5329",0.575610261071129
"hsa05014","Amyotrophic lateral sclerosis",290,-0.685524011840446,-1.8321474763069,1e-10,3.47e-08,1.46852880197766e-08,2027,"tags=33%, list=14%, signal=29%","5718/5686/84134/5719/374291/5715/4719/6389/11047/5903/6390/3309/4217/5685/60/55746/4686/126328/7385/55967/4712/5689/5608/55255/1329/10010/4695/4714/5532/10213/1347/2521/4722/1537/51164/4704/29110/5707/116442/4720/10120/5709/4711/7280/842/9861/5630/5533/4741/7415/4700/5704/5530/7277/55102/1351/7381/5690/203228/4725/10280/7846/4716/4744/9896/5688/10540/4718/5691/9631/347733/1432/10671/5713/10381/203068/10121/5684/3831/5683/4724/2903/5217/5693/65018/2904/5682/55860/3800/5708/51807/6311/145957/5702/3084",NA
"hsa05012","Parkinson disease",210,-0.684519100418738,-1.79348863627031,4.26574090240881e-09,5.28930492700595e-07,2.23847165064858e-07,2027,"tags=37%, list=14%, signal=32%","5718/5686/5719/374291/5715/4719/6389/11047/6390/3309/4217/5685/7345/126328/7385/55967/4712/5689/1329/4128/4695/4714/10213/1347/7326/4722/1537/4704/5707/4720/817/5709/10105/2774/4711/818/7280/27429/842/9861/816/5601/4700/25828/5704/9927/5602/7277/7419/11315/1351/7381/5690/291/4725/7846/4716/5688/4718/5691/347733/5713/10381/203068/5684/3831/5683/4724/5693/5567/51465/65018/5682/3800/5708/51807/5702",0.761460801445585
"hsa05144","Malaria",43,0.745544875945884,1.78931655392619,0.000324021365306425,0.0066138478683135,0.00279902769063889,2049,"tags=42%, list=14%, signal=36%","5175/7057/3606/4615/3689/2995/6347/4233/3553/3043/7043/975/6382/54106/3586/3820/7040/7099",0.49849310876659
"hsa04512","ECM-receptor interaction",84,0.657017796293707,1.77401855410168,6.9202562183192e-05,0.00160088593850451,0.000677506371577783,2019,"tags=30%, list=14%, signal=26%","3913/3673/3691/3678/3908/7057/960/7450/3675/2335/3339/3909/6385/3911/51206/2815/3371/7148/1287/1298/6382/3676/3912/1288/3696",0.538434096309916
"hsa03050","Proteasome",41,-0.808769577708229,-1.77064580238263,5.38696034645027e-05,0.00133519660015589,0.000565064744562413,2027,"tags=61%, list=14%, signal=53%","5718/5686/5719/23198/5715/11047/5685/5689/9491/51371/10213/5707/5709/9861/5704/5690/5688/5691/5713/5684/5683/5693/5682/5708/5702",0.557332238758646
"hsa05016","Huntington disease",248,-0.654567751824517,-1.73610412467754,4.0112124251224e-08,2.78378142303494e-06,1.17811619542858e-06,2094,"tags=38%, list=14%, signal=33%","5432/10376/163/5441/161/5718/5686/5719/374291/5715/4719/6389/160/5978/11047/6390/8218/4217/5685/6908/5440/2892/126328/7385/55967/4712/1173/5689/1213/2776/5438/1329/4695/4714/10213/5332/5435/1347/4722/1537/3066/51164/4704/5707/9519/3064/2893/4720/10120/5709/10105/4711/5431/7280/842/9861/5601/4700/5704/5602/7277/55102/7419/1351/7381/1175/5690/291/4725/7846/4716/5688/10540/4718/5691/347733/10671/5713/10381/203068/10121/5684/3831/5434/5683/4724/5693/23236/2904/5682/55860/3800/5708/51807/5702",0.719512826338911
"hsa04060","Cytokine-cytokine receptor interaction",256,0.562386237914984,1.72759994054997,1.02400194867394e-07,5.92214460316426e-06,2.50629392484821e-06,2533,"tags=24%, list=17%, signal=20%","7132/9180/3566/4055/51330/23765/3606/7048/1436/9518/10344/1441/9173/9235/55540/1439/6354/58191/3601/658/920/6347/3624/3597/7293/3605/4982/3553/84957/7043/1230/3568/1435/3554/2829/6368/3625/269/7852/3586/3593/6355/84639/3588/10148/2660/7040/3574/653/6364/9466/6359/6373/3627/1524/1235/353500/3953/943/9547/5617",0.704975715167238
"hsa04518","Integrin signaling",146,0.587948925077928,1.7193170329725,1.40847958864076e-05,0.000465161719723292,0.000196859764550753,658,"tags=17%, list=5%, signal=17%","718/87/2321/3687/55679/5829/3913/3673/3691/3678/3908/7057/5747/3384/7450/894/3684/3791/3675/7414/2316/2335/1956/3909/3689",0.593325476396405
"hsa04120","Ubiquitin mediated proteolysis",127,-0.6756356557363,-1.7067205421678,1.47457605675971e-05,0.000465161719723292,0.000196859764550753,2271,"tags=35%, list=16%, signal=30%","8450/9616/8454/90293/63893/10277/26232/11059/9978/55284/23624/8554/10393/51619/378884/8065/22954/7326/996/9354/57448/8925/55585/867/4591/6500/7334/8924/1642/3093/8945/10055/9690/997/8881/55294/25847/8453/7319/23291/7325/23327/10273/51465/7322",0.593325476396405
"hsa03010","Ribosome",135,-0.665846236374521,-1.68877678909696,4.05852548743457e-05,0.00108331411087677,0.000458466274758315,2172,"tags=30%, list=15%, signal=25%","56945/64965/28998/64969/51081/2197/51116/6132/51263/6182/64968/51642/7818/6135/128308/55168/64960/10240/51073/51650/65080/64928/64951/65005/64981/65993/64976/54148/51069/84545/26589/51258/51649/23107/116540/54460/57129/64963/84311/10573",0.557332238758646
"hsa05020","Prion disease",218,-0.638029621564755,-1.68144710738042,2.55040848631122e-06,9.85204964433535e-05,4.16945782744099e-05,2071,"tags=37%, list=14%, signal=32%","10376/1457/5291/5718/5686/5719/374291/5715/4719/6389/11047/6390/3309/5685/126328/7385/55967/4712/5689/1386/1329/4695/5621/4714/5532/10213/5594/1347/4722/1537/4704/5707/4720/5709/10105/4711/8503/7280/842/9861/2932/5533/5595/10963/5601/4700/5704/5530/5602/7277/7419/1459/1351/7381/5690/291/4725/7846/4716/5688/4718/5691/347733/1432/5713/10381/203068/5684/3831/5683/4724/2903/5693/5567/2904/5682/3800/5708/51807/5702",0.627256739718528
"hsa05022","Pathways of neurodegeneration - multiple diseases",405,-0.612030675596654,-1.67410190654542,4.57288610403972e-09,5.28930492700595e-07,2.23847165064858e-07,1565,"tags=26%, list=11%, signal=24%","7345/2892/126328/7385/55967/4712/5689/5608/55255/2776/324/1329/10010/4695/5621/4714/5532/10213/5594/5332/673/1347/7326/2521/4722/1537/1452/51164/4704/29110/5707/3064/2893/116442/4720/817/10120/5709/10105/4711/818/7280/27429/842/9861/5630/2932/5533/4741/5595/816/7415/5601/4700/5704/9927/5530/5602/7277/55102/7419/1459/11315/1351/7381/5690/203228/291/4725/10280/7846/4716/4744/9896/5688/10540/4718/1020/5691/347733/823/1432/10671/5713/10381/203068/10121/5684/3831/5683/4724/2903/5693/51465/23236/65018/2904/5682/55860/3800/5708/51807/6311/5702",0.761460801445585
"hsa05322","Systemic lupus erythematosus",44,0.676749140247105,1.66107469561685,0.00227793800942,0.0359292949667609,0.0152055344361497,598,"tags=23%, list=4%, signal=22%","718/713/714/87/2212/712/3115/2214/715/3122",0.431707695803346
"hsa04672","Intestinal immune network for IgA production",41,0.69664669219909,1.65160244609432,0.00289607177327113,0.0385944022509526,0.0163334268877912,2014,"tags=32%, list=14%, signal=27%","4055/3115/3122/5284/23308/3601/3109/3111/3108/3676/7852/3586/7040",0.431707695803346
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",83,0.600978871609898,1.64860960132408,0.000945646170551991,0.0172704853253443,0.00730899283123936,2868,"tags=31%, list=20%, signal=25%","7132/4055/3606/1436/10344/6354/6347/1230/1435/2829/6368/7852/3586/6355/3588/6364/6359/6373/3627/1524/1235/9547/6387/4049/3570/3587",0.477270815362862
"hsa05010","Alzheimer disease",323,-0.598035031092585,-1.62409640650772,5.13967698869953e-07,2.54781130725534e-05,1.07825195582387e-05,2085,"tags=29%, list=14%, signal=25%","824/10376/1457/5291/5718/5686/5719/374291/488/5715/4719/6389/10000/11047/6390/4217/5685/23621/126328/7385/55967/4712/5689/2776/324/1329/4695/4714/5532/10213/5594/5332/673/1347/4722/1537/1452/4704/5707/4720/5709/10105/4711/8503/7280/842/9861/2932/5533/5595/8883/5601/4700/5704/5530/5602/55851/7277/55102/7419/1459/1351/7381/5690/322/291/4725/7846/4716/5688/4718/1020/5691/347733/23385/10313/823/5713/10381/203068/5684/3831/5683/4724/2903/5693/23236/2904/5682/3800/5708/51807/5610/5702",0.659444398037935
"hsa00190","Oxidative phosphorylation",94,-0.670378240603507,-1.62101746527082,0.000247211881138219,0.00536140767218513,0.00226898604776596,2596,"tags=45%, list=18%, signal=37%","27089/6391/4696/9377/4698/4715/7384/4723/374291/4719/6389/528/6390/9550/126328/7385/55967/4712/529/1329/4695/4714/1347/526/4722/1537/4704/4720/51382/4711/523/4700/1353/5464/1351/7381/4725/4716/4718/27068/534/4724",0.49849310876659
"hsa05332","Graft-versus-host disease",28,0.723620244188789,1.6085235934075,0.00676958115117773,0.0572937721819188,0.0242471338971453,1842,"tags=32%, list=13%, signal=28%","3115/3122/3109/3553/3002/3133/3111/3108/5551",0.407017918923954
"hsa05133","Pertussis",68,0.61254543406205,1.60709610958798,0.00109064001468186,0.0189226042547302,0.00800818137074823,1352,"tags=24%, list=9%, signal=21%","718/713/714/712/3678/3684/2353/715/4615/3689/801/5970/929/4843/3553/2771",0.45505986738723
"hsa05017","Spinocerebellar ataxia",124,-0.63977269055936,-1.59000545739758,0.000412598335303531,0.00795397901946251,0.00336618077245151,2030,"tags=37%, list=14%, signal=32%","5291/5718/5686/5719/488/5715/10000/11047/4217/5685/6511/6908/2892/25814/5689/2776/10213/5332/4976/5707/9519/5709/10105/8503/9861/5601/5704/5602/55102/7419/5690/291/5688/6095/5691/5713/5684/5683/2903/5693/23236/2904/5682/5708/6311/5702",0.49849310876659
"hsa03020","RNA polymerase",28,-0.768111197208582,-1.57164341570772,0.00522771098048635,0.0490274516278045,0.0207487679547543,2094,"tags=50%, list=14%, signal=43%","5432/5441/10622/55703/25885/5440/171568/5438/5435/84172/5431/10623/51728/5434",0.407017918923954
"hsa05330","Allograft rejection",28,0.702071291997367,1.56062278038924,0.0128777825091096,0.0971432724056749,0.0411117272178949,1842,"tags=36%, list=13%, signal=31%","3115/3122/3109/3002/3133/3111/3108/3586/3593/5551",0.380730400722792
"hsa00020","Citrate cycle (TCA cycle)",30,-0.76066104800488,-1.55993007311038,0.00351016201568844,0.0400649488657785,0.0169557727259821,2296,"tags=47%, list=16%, signal=39%","48/5160/4190/6389/6390/4191/4967/55753/1431/1737/1738/8803/3420/47",0.431707695803346
"hsa05140","Leishmaniasis",65,0.588487197503659,1.5410109051237,0.00421341867036297,0.0430016552534103,0.018198607859466,2049,"tags=37%, list=14%, signal=32%","718/2212/1536/3684/2353/3115/4792/2214/4615/3122/3689/5970/4843/3109/3553/7043/3111/3108/3676/3586/3593/7189/7040/7099",0.407017918923954
"hsa01232","Nucleotide metabolism",65,-0.653503850120689,-1.51332282825478,0.00379558819879402,0.0411584095306727,0.0174185330949236,1383,"tags=20%, list=10%, signal=18%","957/2766/9583/131870/7084/51727/6240/50484/79077/3614/7371/3251/956",0.431707695803346
"hsa04114","Oocyte meiosis",106,-0.611534177190555,-1.51300314585796,0.00319271228231899,0.0388970501058222,0.0164615096231609,1328,"tags=24%, list=9%, signal=22%","10393/5532/5594/996/64506/367/817/6500/22849/818/5533/5515/5595/816/5530/8945/5347/8881/7533/25847/23291/1432/6790/5567/891",0.431707695803346
