"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa05202","Transcriptional misregulation in cancer",166,0.460162224404401,1.20142935561125,0.166998011928429,0.541156333206542,0.452460728320858,1561,"tags=15%, list=9%, signal=14%","1051/929/894/604/4297/7157/2308/2521/171558/4298/4221/2118/1026/25942/5914/1436/862/5327/2078/221037/5328/64332/2892/3065/4005",0.151148761385484
"hsa05160","Hepatitis C",147,0.45342517421664,1.19148507546847,0.168650793650794,0.541156333206542,0.452460728320858,1087,"tags=9%, list=6%, signal=8%","7122/7132/3455/5465/6654/4792/5293/7157/10686/208/1026/57506/836",0.150169802128406
"hsa00380","Tryptophan metabolism",40,-0.526816382319993,-1.19064892761682,0.18705035971223,0.549606229926526,0.459525685690026,3072,"tags=35%, list=17%, signal=29%","23498/501/15/3620/4129/223/1738/224/2639/8942/847/121278/1644/1544",0.134273452883202
"hsa00053","Ascorbate and aldarate metabolism",19,-0.592646225058923,-1.18993313237044,0.248175182481752,0.638568004330009,0.53390661180949,2984,"tags=37%, list=17%, signal=31%","501/55586/2990/223/7363/224/79799",0.115240003147781
"hsa05163","Human cytomegalovirus infection",215,0.43369198457965,1.18897622719996,0.154488517745303,0.541156333206542,0.452460728320858,1324,"tags=11%, list=7%, signal=10%","7132/59345/1230/2768/6654/1386/4792/5293/7157/7188/6347/3135/51764/208/1385/7852/1026/5578/5829/5566/836/6300/468/10681",0.161978948883402
"hsa04010","MAPK signaling pathway",286,0.418363793185269,1.18417575541492,0.147448015122873,0.541156333206542,0.452460728320858,1090,"tags=12%, list=6%, signal=11%","7132/929/1942/2768/2252/6654/5908/6789/2261/7423/9020/4615/1386/3654/7157/9448/5321/627/4215/208/1616/5607/4915/5578/6195/1436/27091/2668/7039/255189/5566/836/6300",0.157402899305283
"hsa00230","Purine metabolism",114,-0.440474930766893,-1.17963309335689,0.143129770992366,0.541156333206542,0.452460728320858,2181,"tags=15%, list=12%, signal=13%","2272/2984/4882/10846/132/5631/5167/5158/51292/221264/9583/5147/5142/50940/5140/956/7498",0.160801401070022
"hsa03008","Ribosome biogenesis in eukaryotes",65,-0.474880228671727,-1.17712342262953,0.18252427184466,0.547717338513842,0.457946383865657,3458,"tags=28%, list=19%, signal=22%","57455/54464/10885/10799/25996/55272/10199/23195/51096/10813/28987/345630/55813/4931/55127/22803/10171/55781",0.142056643575821
"hsa05340","Primary immunodeficiency",36,0.539263352282958,1.17004079993207,0.248259860788863,0.638568004330009,0.53390661180949,1036,"tags=8%, list=6%, signal=8%","5788/100/64421",0.132147260608774
"hsa04330","Notch signaling pathway",60,0.499426588984608,1.15970794102177,0.238197424892704,0.638568004330009,0.53390661180949,2551,"tags=32%, list=14%, signal=27%","4854/84441/9612/441478/171558/2033/9253/1840/342371/23493/3065/4853/6868/4855/7088/83464/8850/151636/1856",0.129442887745046
"hsa04921","Oxytocin signaling pathway",143,-0.416454033160857,-1.15007506557017,0.171548117154812,0.541156333206542,0.452460728320858,2002,"tags=11%, list=11%, signal=10%","5567/4882/5563/2770/340156/91807/5294/283748/783/55799/10645/3708/3710/817/4775/781",0.153158808683073
"hsa04820","Cytoskeleton in muscle cells",227,0.417226422078371,1.14888933705563,0.187007874015748,0.549606229926526,0.459525685690026,1944,"tags=15%, list=11%, signal=14%","1837/3693/477/482/23500/1284/7431/131873/23002/56776/6640/6385/2335/29767/7058/272/1634/7273/7134/8572/1289/60/829/7171/4604/6711/1281/4636/3680/27295/7138/3655/1465/3339/4627",0.141225119642531
"hsa00591","Linoleic acid metabolism",23,-0.551929495006603,-1.14730527411981,0.267504488330341,0.658326648586017,0.550426811282595,937,"tags=17%, list=5%, signal=16%","1557/283748/1544/246",0.109250039480711
"hsa04360","Axon guidance",179,0.418601052213522,1.14656237334308,0.205479452054795,0.583002292369684,0.487448128446162,1607,"tags=17%, list=9%, signal=15%","658/3985/1942/25791/7474/5293/5335/5998/22885/55558/7852/23380/2044/2051/655/2534/5578/8440/5781/818/6586/59277/25/54910/56924/1949/9423/5364/1630/4636",0.133554954557592
"hsa05146","Amoebiasis",101,0.455594994488998,1.14399074724602,0.21516393442623,0.597295081967213,0.499398327666258,1100,"tags=12%, list=6%, signal=11%","5269/929/1284/5293/87/3911/2335/384/5578/5566/836/10319",0.133554954557592
"hsa00565","Ether lipid metabolism",38,0.511490191897147,1.14375048110789,0.278508771929825,0.661523480359886,0.553099681845069,1048,"tags=11%, list=6%, signal=10%","79888/7941/5321/255189",0.119887845115423
"hsa05223","Non-small cell lung cancer",72,0.474030215066607,1.14325965416651,0.254777070063694,0.645311265051839,0.539544651078804,1016,"tags=12%, list=6%, signal=12%","6654/6789/5293/7157/5335/208/1026/5578/7039",0.12384217120105
"hsa04519","Cadherin signaling",359,0.399161256829079,1.1402128845594,0.160427807486631,0.541156333206542,0.452460728320858,1698,"tags=13%, list=10%, signal=12%","2697/10413/2195/154810/25937/1003/55233/23500/7003/1006/7474/60485/7431/4792/23002/8324/87/1452/5098/10518/51466/2033/84152/4542/1009/6300/7855/8322/126374/60/2196/57216/1951/56129/144165/5159/375323/51474/1000/5100/10184/8323/56114/83439/7475",0.14551614609036
"hsa04670","Leukocyte transendothelial migration",107,0.456268794223019,1.13826765904127,0.237154150197628,0.638568004330009,0.53390661180949,1728,"tags=20%, list=10%, signal=18%","7122/1003/5908/5293/10686/5335/87/7430/10411/7852/7412/5578/5829/5781/6300/60/7294/1536/4636/5906/9071",0.12384217120105
"hsa04114","Oocyte meiosis",115,-0.426824569206451,-1.13783753147854,0.226487523992322,0.618828116734928,0.517402094777749,838,"tags=7%, list=5%, signal=7%","4342/8454/3479/3708/891/3710/817/699",0.125033367555272
"hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series",28,-0.53335463789261,-1.13551736549691,0.273897058823529,0.661523480359886,0.553099681845069,2770,"tags=21%, list=16%, signal=18%","10402/53947/28/10690/2524/10317",0.109250039480711
"hsa04370","VEGF signaling pathway",56,0.492883860285809,1.13388483432333,0.248434237995825,0.638568004330009,0.53390661180949,1090,"tags=16%, list=6%, signal=15%","5293/5335/5321/25759/208/5578/5829/255189/6300",0.124434168630393
